"","Gp4","Acidimicrobiales_unclassified","Iamia","Actinobacteria_unclassified","Actinobaculum","Actinomyces","Actinomycetaceae_unclassified","Actinomycetales_unclassified","Actinopolyspora","Tropheryma","Corynebacteriaceae_unclassified","Corynebacterium","Dermacoccaceae_unclassified","Kytococcus","Yimella","Blastococcus","Geodermatophilaceae_unclassified","Intrasporangiaceae_unclassified","Janibacter","Curtobacterium","Microbacteriaceae_unclassified","Microbacterium","Kocuria","Micrococcaceae_unclassified","Micrococcus","Nesterenkonia","Rothia","Mycobacterium","Gordonia","Marmoricola","Nocardioidaceae_unclassified","Nocardioides","Nocardiopsis","Friedmanniella","Propionibacteriaceae_unclassified","Propionibacterium","Pseudonocardia","Pseudonocardiaceae_unclassified","Metascardovia","Atopobium","Olsenella","Slackia","Solirubrobacterales_unclassified","Bacteroidetes_incertae_sedis_family_incertae_sedis_unclassified","Bacteroidetes_unclassified","Bacteroidales_unclassified","Porphyromonadaceae_unclassified","Paludibacter","Porphyromonas","Tannerella","Prevotellaceae_unclassified","Hallella","Paraprevotella","Prevotella","Sphingobacteriales_unclassified","Cytophagaceae_unclassified","Hymenobacter","Pontibacter","Pedobacter","Capnocytophaga","Flavobacteriaceae_unclassified","Flavobacterium","Deinococcaceae_unclassified","Deinococcus","Deinococcales_unclassified","Fusobacteriaceae_unclassified","Fusobacterium","Leptotrichiaceae_unclassified","Leptotrichia","Proteobacteria_unclassified","Alphaproteobacteria_unclassified","Brevundimonas","Caulobacter","Phenylobacterium","Aurantimonas","Bradyrhizobium","Devosia","Methylobacterium","Phyllobacteriaceae_unclassified","Ensifer","Rhizobium","Rhizobiales_unclassified","Amaricoccus","Paracoccus","Rhodobacteraceae_unclassified","Rubellimicrobium","Stappia","Betaproteobacteria_unclassified","Achromobacter","Alcaligenaceae_unclassified","Alcaligenes","Burkholderia","Burkholderiaceae_unclassified","Ralstonia","Burkholderiales_incertae_sedis_unclassified","Mitsuaria","Tepidimonas","Burkholderiales_unclassified","Comamonadaceae_unclassified","Comamonas","Delftia","Hydrogenophaga","Limnohabitans","Roseateles","Schlegelella","Herbaspirillum","Janthinobacterium","Massilia","Naxibacter","Oxalobacteraceae_unclassified","Methylophilaceae_unclassified","Bergeriella","Kingella","Neisseria","Neisseriaceae_unclassified","Shinella","Uliginosibacterium","Citrobacter","Enterobacteriaceae_unclassified","Escherichia_Shigella","Morganella","Proteus","Aeromonas","Cardiobacterium","Gammaproteobacteria_unclassified","Alcanivorax","Halomonas","Oceanospirillales_unclassified","Aggregatibacter","Haemophilus","Pasteurellaceae_unclassified","Acinetobacter","Alkanindiges","Enhydrobacter","Moraxella","Moraxellaceae_unclassified","Psychrobacter","Cellvibrio","Pseudomonadaceae_unclassified","Pseudomonas","Serpens","Pseudomonadales_unclassified","Stenotrophomonas","Thermomonas","Xanthomonadaceae_unclassified","Treponema","Mycoplasma","Bacteria_unclassified","Tumebacillus","Bacillaceae_2_unclassified","Salimicrobium","Gemella","Exiguobacterium","Bacillales_unclassified","Cohnella","Planococcaceae_unclassified","Planococcus","Jeotgalicoccus","Nosocomiicoccus","Salinicoccus","Staphylococcaceae_unclassified","Staphylococcus","Shimazuella","Thermoactinomycetaceae_1_unclassified","Bacilli_unclassified","Abiotrophia","Aerococcaceae_unclassified","Atopostipes","Carnobacteriaceae_unclassified","Carnobacterium","Dolosigranulum","Granulicatella","Lactobacillaceae_unclassified","Lactobacillus","Lactobacillales_unclassified","Leuconostoc","Streptococcaceae_unclassified","Streptococcus","Clostridia_unclassified","Clostridiaceae_1_unclassified","Proteiniclasticum","Anaerococcus","Finegoldia","Parvimonas","Peptoniphilus","Mogibacterium","Clostridiales_unclassified","Eubacteriaceae_unclassified","Eubacterium","Blautia","Catonella","Lachnobacterium","Lachnospiraceae_unclassified","Moryella","Oribacterium","Peptococcaceae_1_unclassified","Filifactor","Peptostreptococcaceae_incertae_sedis","Peptostreptococcus","Ruminococcaceae_unclassified","Bulleidia","Solobacterium","Firmicutes_unclassified","Selenomonadales_unclassified","Anaerovibrio","Centipeda","Dialister","Megasphaera","Mitsuokella","Selenomonas","Veillonella","Veillonellaceae_unclassified","TM7_genus_incertae_sedis"
"29-B1",0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.018518518518518517,0.1419753086419753,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.018518518518518517,0.0,0.030864197530864196,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.006172839506172839,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043209876543209874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.018518518518518517,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.012345679012345678,0.012345679012345678,0.13580246913580246,0.0,0.09876543209876543,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0
"30-B1",0.0,0.0,0.0,0.0,0.0,0.01276595744680851,0.01702127659574468,0.05106382978723404,0.0,0.0,0.00425531914893617,0.00425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00851063829787234,0.0,0.0,0.00425531914893617,0.0,0.0,0.00851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00425531914893617,0.04680851063829787,0.0,0.0,0.0,0.00425531914893617,0.0,0.00425531914893617,0.0,0.0,0.0,0.01702127659574468,0.0,0.0,0.00425531914893617,0.0,0.01702127659574468,0.0,0.0,0.04680851063829787,0.0,0.0,0.0,0.0,0.0,0.00851063829787234,0.00425531914893617,0.0,0.0,0.0,0.0,0.01276595744680851,0.029787234042553193,0.0,0.0,0.0,0.0,0.00425531914893617,0.00425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.0,0.00425531914893617,0.0,0.0,0.0,0.0,0.00425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01702127659574468,0.0,0.0,0.0,0.0,0.00425531914893617,0.00851063829787234,0.0,0.00851063829787234,0.0,0.00425531914893617,0.0,0.01276595744680851,0.00425531914893617,0.00425531914893617,0.0,0.0,0.0,0.0,0.0,0.00425531914893617,0.0,0.02127659574468085,0.0,0.0,0.0,0.09787234042553192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.00425531914893617,0.0,0.0,0.00425531914893617,0.0,0.0,0.01702127659574468,0.0,0.0,0.05531914893617021,0.0,0.05106382978723404,0.05531914893617021,0.00851063829787234,0.0,0.0,0.0,0.0,0.07234042553191489,0.00425531914893617,0.01702127659574468,0.02127659574468085,0.0,0.00851063829787234,0.0,0.00425531914893617,0.0,0.00425531914893617,0.00851063829787234,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.00425531914893617,0.00425531914893617,0.02553191489361702,0.0,0.0,0.0,0.00425531914893617,0.00425531914893617,0.0,0.00425531914893617,0.029787234042553193,0.0,0.01276595744680851
"31-B2",0.0,0.0,0.0,0.0,0.003401360544217687,0.027210884353741496,0.013605442176870748,0.11904761904761904,0.0,0.0,0.01020408163265306,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003401360544217687,0.0,0.0,0.01020408163265306,0.013605442176870748,0.0,0.003401360544217687,0.0,0.0,0.0,0.003401360544217687,0.0,0.0,0.0,0.030612244897959183,0.02040816326530612,0.0,0.0,0.0,0.003401360544217687,0.006802721088435374,0.0,0.0,0.0,0.0,0.003401360544217687,0.006802721088435374,0.023809523809523808,0.006802721088435374,0.006802721088435374,0.02040816326530612,0.0,0.0,0.05102040816326531,0.0,0.0,0.0,0.0,0.0,0.030612244897959183,0.006802721088435374,0.0,0.0,0.0,0.0,0.006802721088435374,0.03741496598639456,0.0,0.01020408163265306,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003401360544217687,0.0,0.003401360544217687,0.003401360544217687,0.0,0.0,0.006802721088435374,0.0,0.0,0.003401360544217687,0.003401360544217687,0.0,0.003401360544217687,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003401360544217687,0.003401360544217687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.003401360544217687,0.0,0.0,0.0,0.006802721088435374,0.0,0.006802721088435374,0.006802721088435374,0.0,0.0,0.003401360544217687,0.003401360544217687,0.0,0.0,0.003401360544217687,0.0,0.0,0.0,0.0,0.0,0.0,0.013605442176870748,0.003401360544217687,0.030612244897959183,0.0,0.0,0.0,0.006802721088435374,0.0,0.003401360544217687,0.0,0.003401360544217687,0.0,0.0,0.0,0.0,0.0,0.003401360544217687,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.01020408163265306,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.003401360544217687,0.0,0.003401360544217687,0.023809523809523808,0.06802721088435375,0.0,0.0,0.003401360544217687,0.0,0.0,0.003401360544217687,0.0,0.0,0.0,0.003401360544217687,0.0,0.0,0.013605442176870748,0.0,0.0,0.006802721088435374,0.017006802721088437,0.027210884353741496,0.05782312925170068,0.04081632653061224
"32-B3",0.0,0.0,0.0,0.0,0.0,0.007434944237918215,0.011152416356877323,0.10037174721189591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01858736059479554,0.0,0.0,0.026022304832713755,0.0,0.0037174721189591076,0.007434944237918215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037174721189591076,0.04460966542750929,0.0,0.0,0.0,0.007434944237918215,0.0,0.0,0.0,0.0,0.007434944237918215,0.026022304832713755,0.0,0.0,0.0,0.0,0.048327137546468404,0.0,0.0,0.06691449814126393,0.0,0.0,0.0,0.0,0.0,0.0037174721189591076,0.0,0.0,0.0,0.0,0.0,0.0,0.011152416356877323,0.0,0.0,0.0,0.011152416356877323,0.0037174721189591076,0.0,0.0,0.0,0.0,0.007434944237918215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037174721189591076,0.0037174721189591076,0.0,0.0,0.0,0.0037174721189591076,0.007434944237918215,0.011152416356877323,0.0,0.0037174721189591076,0.0,0.0037174721189591076,0.0037174721189591076,0.0,0.0,0.0,0.0,0.0037174721189591076,0.0,0.0,0.0,0.0,0.0,0.0037174721189591076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011152416356877323,0.0,0.0,0.0,0.0037174721189591076,0.011152416356877323,0.0,0.0,0.0,0.0,0.022304832713754646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007434944237918215,0.0,0.01858736059479554,0.0,0.0,0.0,0.007434944237918215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037174721189591076,0.011152416356877323,0.0,0.0,0.0037174721189591076,0.0037174721189591076,0.022304832713754646,0.0,0.0,0.0,0.0,0.0037174721189591076,0.0,0.0,0.011152416356877323,0.0,0.040892193308550186,0.03345724907063197,0.007434944237918215,0.0,0.0,0.026022304832713755,0.0,0.040892193308550186,0.0037174721189591076,0.0037174721189591076,0.022304832713754646,0.0037174721189591076,0.011152416356877323,0.0,0.011152416356877323,0.0,0.0037174721189591076,0.007434944237918215,0.03345724907063197,0.0,0.0,0.0,0.01486988847583643,0.0,0.007434944237918215,0.011152416356877323,0.03345724907063197,0.0,0.0,0.0,0.0037174721189591076,0.0037174721189591076,0.0,0.0037174721189591076,0.02973977695167286,0.0,0.03717472118959108
"33-B1",0.0,0.0,0.006493506493506494,0.012987012987012988,0.0,0.0,0.0,0.16233766233766234,0.0,0.0,0.012987012987012988,0.032467532467532464,0.0,0.0,0.0,0.0,0.01948051948051948,0.0,0.0,0.03896103896103896,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.1038961038961039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.006493506493506494,0.0,0.0,0.0,0.01948051948051948,0.006493506493506494,0.0,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.012987012987012988,0.0,0.01948051948051948,0.0,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.06493506493506493,0.18831168831168832,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01948051948051948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.006493506493506494,0.012987012987012988,0.0,0.0,0.0,0.025974025974025976,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"34-B1",0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.017857142857142856,0.05357142857142857,0.03571428571428571,0.0,0.017857142857142856,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.017857142857142856,0.017857142857142856,0.0,0.017857142857142856,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.05357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05357142857142857,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856
"35-B2",0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.02,0.09333333333333334,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.006666666666666667,0.0,0.013333333333333334,0.006666666666666667,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,0.0,0.0,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.006666666666666667,0.0,0.006666666666666667,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05333333333333334,0.0,0.006666666666666667,0.0,0.006666666666666667,0.02666666666666667,0.013333333333333334,0.0,0.013333333333333334,0.0,0.006666666666666667,0.0,0.0,0.006666666666666667,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.013333333333333334,0.0,0.006666666666666667,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.02,0.0,0.013333333333333334,0.0,0.0,0.0,0.013333333333333334,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.04,0.02,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.006666666666666667,0.0,0.02666666666666667,0.0,0.11333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.006666666666666667,0.0,0.02666666666666667
"36-B3",0.0,0.0,0.0,0.0,0.0,0.015037593984962405,0.03759398496240601,0.10776942355889724,0.0,0.0,0.0,0.005012531328320802,0.0,0.0,0.0,0.002506265664160401,0.002506265664160401,0.0,0.0,0.0,0.005012531328320802,0.0,0.0,0.02756892230576441,0.0,0.0,0.002506265664160401,0.0,0.0,0.0,0.002506265664160401,0.002506265664160401,0.0,0.0,0.03258145363408521,0.007518796992481203,0.002506265664160401,0.002506265664160401,0.0,0.005012531328320802,0.0,0.0,0.0,0.0,0.0,0.010025062656641603,0.002506265664160401,0.002506265664160401,0.010025062656641603,0.0,0.007518796992481203,0.0,0.0,0.03007518796992481,0.0,0.0,0.0,0.0,0.0,0.007518796992481203,0.0,0.0,0.0,0.0,0.0,0.010025062656641603,0.012531328320802004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002506265664160401,0.0,0.0,0.005012531328320802,0.0,0.0,0.002506265664160401,0.002506265664160401,0.002506265664160401,0.0,0.002506265664160401,0.0,0.0,0.0,0.002506265664160401,0.0,0.0,0.0,0.0,0.0,0.0,0.007518796992481203,0.0,0.005012531328320802,0.002506265664160401,0.0,0.002506265664160401,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.002506265664160401,0.005012531328320802,0.005012531328320802,0.022556390977443608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002506265664160401,0.0,0.017543859649122806,0.005012531328320802,0.0,0.0,0.002506265664160401,0.0,0.0,0.0,0.002506265664160401,0.0,0.0,0.0,0.0,0.0,0.0,0.002506265664160401,0.002506265664160401,0.010025062656641603,0.0,0.0,0.0,0.022556390977443608,0.0,0.0,0.0,0.0,0.0,0.0,0.005012531328320802,0.0,0.002506265664160401,0.002506265664160401,0.0,0.0,0.017543859649122806,0.002506265664160401,0.002506265664160401,0.0,0.0,0.0,0.0,0.020050125313283207,0.0,0.0,0.03759398496240601,0.0,0.05263157894736842,0.02506265664160401,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.005012531328320802,0.022556390977443608,0.0,0.005012531328320802,0.0,0.012531328320802004,0.0,0.022556390977443608,0.010025062656641603,0.022556390977443608,0.02506265664160401,0.07518796992481203,0.02506265664160401,0.015037593984962405,0.0,0.002506265664160401,0.002506265664160401,0.015037593984962405,0.0,0.0,0.002506265664160401,0.0,0.0,0.0,0.002506265664160401,0.012531328320802004,0.007518796992481203,0.020050125313283207
"37-B1",0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.01818181818181818,0.06363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.024242424242424242,0.0,0.0,0.0,0.0030303030303030303,0.0,0.0,0.00909090909090909,0.0,0.0,0.0030303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030303030303030303,0.0,0.0,0.0,0.006060606060606061,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,0.0,0.024242424242424242,0.006060606060606061,0.12424242424242424,0.0,0.0030303030303030303,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0030303030303030303,0.0,0.0,0.0,0.0,0.00909090909090909,0.012121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030303030303030303,0.0,0.0,0.006060606060606061,0.0,0.0,0.0,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.0,0.0,0.006060606060606061,0.006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0030303030303030303,0.0,0.0,0.0,0.006060606060606061,0.0,0.0,0.0030303030303030303,0.0030303030303030303,0.0,0.0,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.006060606060606061,0.00909090909090909,0.006060606060606061,0.0,0.0,0.0,0.021212121212121213,0.0,0.0,0.0,0.0030303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909090909090909,0.0030303030303030303,0.0030303030303030303,0.0,0.0,0.0,0.0,0.00909090909090909,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304,0.03939393939393939,0.0030303030303030303,0.0,0.0,0.0,0.0,0.00909090909090909,0.0,0.0030303030303030303,0.021212121212121213,0.0,0.00909090909090909,0.0,0.0,0.0,0.006060606060606061,0.0,0.006060606060606061,0.0,0.0,0.0,0.006060606060606061,0.0,0.0030303030303030303,0.00909090909090909,0.030303030303030304,0.0,0.0,0.0,0.0,0.0030303030303030303,0.0,0.0030303030303030303,0.12424242424242424,0.012121212121212121,0.0030303030303030303
"38-B2",0.0,0.0,0.0,0.0,0.003205128205128205,0.01282051282051282,0.028846153846153848,0.12179487179487179,0.003205128205128205,0.0,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003205128205128205,0.0,0.0,0.028846153846153848,0.003205128205128205,0.0,0.00641025641025641,0.003205128205128205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.003205128205128205,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.0,0.00641025641025641,0.00641025641025641,0.035256410256410256,0.003205128205128205,0.0,0.08653846153846154,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.003205128205128205,0.0,0.0,0.0,0.0,0.00641025641025641,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003205128205128205,0.0,0.003205128205128205,0.0,0.0,0.0,0.0,0.00641025641025641,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.003205128205128205,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003205128205128205,0.003205128205128205,0.0,0.0,0.0,0.0,0.0,0.009615384615384616,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.003205128205128205,0.003205128205128205,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.00641025641025641,0.016025641025641024,0.0,0.0,0.00641025641025641,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016025641025641024,0.0,0.0,0.0,0.003205128205128205,0.0,0.0,0.02564102564102564,0.0,0.0,0.041666666666666664,0.0,0.04487179487179487,0.04807692307692308,0.003205128205128205,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.016025641025641024,0.019230769230769232,0.0,0.01282051282051282,0.0,0.01282051282051282,0.0,0.019230769230769232,0.00641025641025641,0.016025641025641024,0.0,0.0,0.0,0.04487179487179487,0.0,0.022435897435897436,0.009615384615384616,0.016025641025641024,0.0,0.0,0.0,0.0,0.003205128205128205,0.0,0.003205128205128205,0.03205128205128205,0.00641025641025641,0.00641025641025641
